Modo_solicitud,Orden_solicitud,Carrera,Asistencia_diurna_nocturna,Calificacion_previa,Calificacion_madre,Calificacion_padre,Ocupacion_madre,Ocupacion_padre,Desplazado,Deudor,Pagos_al_dia,Genero,Becado,Edad_al_matricularse,Unidades_1er_sem_matriculadas,Unidades_1er_sem_evaluaciones,Unidades_1er_sem_aprobadas,Unidades_1er_sem_nota,Unidades_2do_sem_matriculadas,Unidades_2do_sem_evaluaciones,Unidades_2do_sem_aprobadas,Unidades_2do_sem_nota,Tasa_desempleo,Tasa_inflacion,PIB
9,1,10,1,1,13,28,6,9,1,0,1,0,0,18,6,10,1,12.0,6,14,2,11.0,10.8,1.4,1.74
1,1,16,1,1,13,14,8,8,1,0,1,0,0,18,7,7,6,11.666666666666666,7,8,6,13.5,16.2,0.3,-0.92
9,4,13,1,1,1,28,5,8,1,0,1,0,0,20,7,14,7,11.4375,8,9,8,11.425,12.7,3.7,-1.7
1,1,10,1,1,13,28,10,10,1,1,1,0,1,18,6,8,5,11.6,6,12,4,11.0,7.6,2.6,0.32
1,1,6,1,1,13,14,4,4,1,0,1,0,0,18,5,9,5,12.666666666666666,5,7,4,13.0,9.4,-0.8,-3.12
8,2,12,1,1,3,3,2,11,1,0,1,1,0,19,7,9,6,12.933333333333332,7,7,6,13.716666666666669,16.2,0.3,-0.92
15,1,4,1,14,4,5,5,3,0,0,1,1,0,21,6,15,5,11.857142857142858,6,17,5,10.571428571428571,16.2,0.3,-0.92
1,1,9,1,1,1,1,5,7,0,0,0,1,0,18,5,9,3,11.333333333333334,5,8,2,13.5,8.9,1.4,3.51
8,1,17,0,1,23,28,5,6,0,0,1,0,0,24,5,9,2,11.5,5,11,3,14.333333333333334,7.6,2.6,0.32
1,1,12,1,1,22,28,7,7,1,0,1,0,1,19,8,10,6,11.833333333333334,8,10,6,11.833333333333334,9.4,-0.8,-3.12
1,1,15,1,1,1,14,8,8,1,0,1,0,1,20,6,11,4,14.0,6,12,3,11.0,9.4,-0.8,-3.12
1,3,2,1,1,23,27,5,10,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,7.6,2.6,0.32
8,3,2,1,1,1,27,5,8,1,0,1,1,1,19,0,0,0,0.0,0,0,0,0.0,10.8,1.4,1.74
8,1,5,1,1,1,1,4,5,1,0,1,1,0,19,6,6,5,11.4,6,8,1,10.0,10.8,1.4,1.74
14,1,5,1,1,1,1,4,4,0,0,1,1,0,24,6,6,0,0.0,6,6,0,0.0,12.7,3.7,-1.7
12,1,11,1,1,13,27,8,11,0,0,1,1,0,26,6,7,6,12.0,6,8,5,10.8,12.7,3.7,-1.7
8,1,9,1,1,23,27,6,6,0,0,1,1,0,18,5,9,0,0.0,5,5,0,0.0,7.6,2.6,0.32
8,1,11,1,1,13,14,5,5,0,0,1,1,0,18,5,6,5,12.0,5,8,3,11.333333333333334,12.7,3.7,-1.7
1,6,9,1,1,23,27,10,10,1,0,1,1,0,23,5,6,4,14.0,5,5,5,13.8,11.1,0.6,2.02
14,2,7,1,1,23,14,10,7,1,1,1,1,0,18,5,9,2,10.0,5,9,0,0.0,15.5,2.8,-4.06
6,1,7,1,1,23,3,10,3,1,0,1,1,0,19,5,9,5,14.0,5,11,3,13.25,13.9,-0.3,0.79
1,1,6,1,1,1,2,10,2,1,0,1,0,0,19,5,7,5,14.2,5,7,5,13.8,12.7,3.7,-1.7
8,2,16,1,1,13,1,10,4,1,0,1,0,0,20,7,12,6,11.666666666666666,7,10,3,13.0,16.2,0.3,-0.92
8,2,9,1,1,1,28,5,8,1,0,1,0,1,18,5,9,3,13.0,5,11,3,11.0,8.9,1.4,3.51
14,1,12,1,1,23,28,10,6,0,0,1,0,0,20,7,11,6,11.616666666666667,7,7,7,13.0,13.9,-0.3,0.79
8,1,10,1,1,13,27,10,8,1,0,1,0,1,20,6,13,2,10.0,6,12,4,10.75,7.6,2.6,0.32
8,1,9,1,1,13,14,4,4,0,0,1,0,0,20,5,11,3,10.333333333333334,5,10,3,10.666666666666666,12.4,0.5,1.79
1,1,16,1,1,13,28,10,4,1,0,1,0,1,18,6,8,5,12.8,6,7,5,13.4,9.4,-0.8,-3.12
1,2,12,1,1,13,1,5,8,0,0,1,0,1,20,7,9,5,13.188,8,9,7,12.892857142857142,11.1,0.6,2.02
16,1,9,1,1,3,1,4,4,1,1,0,0,0,22,5,8,0,0.0,5,7,0,0.0,8.9,1.4,3.51
1,1,2,1,1,3,27,3,9,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,9.4,-0.8,-3.12
8,1,16,1,1,23,28,8,7,1,0,1,0,0,18,6,11,3,12.333333333333334,6,10,5,10.833333333333334,9.4,-0.8,-3.12
12,1,4,1,1,1,27,7,7,0,1,1,0,0,47,1,1,0,0.0,6,0,0,0.0,8.9,1.4,3.51
12,1,6,1,1,22,14,10,8,1,0,1,0,0,28,5,13,4,11.25,5,11,4,10.5,12.7,3.7,-1.7
1,1,14,1,1,22,27,10,10,1,0,1,0,1,18,5,6,3,11.666666666666666,5,6,4,13.5,7.6,2.6,0.32
15,1,17,0,14,22,14,10,9,0,0,1,0,1,26,6,7,6,12.666666666666666,6,7,6,13.166666666666666,9.4,-0.8,-3.12
14,1,10,1,1,1,27,6,10,0,1,0,0,0,21,10,18,8,11.5,6,12,4,10.0,9.4,-0.8,-3.12
1,1,3,0,1,1,27,8,4,0,0,1,0,0,23,6,13,2,10.0,5,12,1,10.0,9.4,-0.8,-3.12
12,1,12,1,1,1,3,28,19,0,0,1,0,0,35,3,4,3,11.816666666666668,3,3,3,11.333333333333334,11.1,0.6,2.02
12,1,13,1,15,1,1,5,6,0,0,1,0,0,25,7,10,6,12.125,8,9,8,13.3125,15.5,2.8,-4.06
1,3,12,1,1,3,1,5,5,1,0,1,0,0,19,7,10,6,12.471428571428572,7,8,7,11.4625,12.4,0.5,1.79
7,1,2,1,1,3,3,4,4,1,0,1,0,0,24,17,19,11,12.909090909090908,13,15,9,13.555555555555555,12.4,0.5,1.79
1,3,5,1,1,13,28,10,10,1,0,1,0,0,19,6,7,5,12.4,6,6,5,12.4,9.4,-0.8,-3.12
1,1,15,1,1,22,27,10,9,1,0,1,0,0,18,6,12,1,11.0,6,12,0,0.0,9.4,-0.8,-3.12
8,3,5,1,1,22,27,10,10,0,0,1,0,0,18,6,6,6,11.833333333333334,6,6,6,12.5,7.6,2.6,0.32
1,1,12,1,1,13,14,6,7,0,0,1,0,1,18,7,7,7,13.79714285714286,8,8,8,13.775,12.4,0.5,1.79
8,1,5,1,1,4,27,3,10,0,0,1,0,0,18,6,8,6,12.5,6,6,6,12.333333333333334,15.5,2.8,-4.06
15,1,4,1,14,22,27,10,5,0,0,1,0,0,24,6,10,6,11.428571428571429,6,12,5,13.0,12.4,0.5,1.79
1,1,14,1,1,1,14,5,11,1,0,1,0,0,19,6,8,4,11.0,6,9,4,11.0,10.8,1.4,1.74
8,1,12,1,1,23,28,8,8,0,0,1,0,0,20,7,11,6,11.757142857142856,8,12,6,13.083333333333334,15.5,2.8,-4.06
3,3,6,1,1,1,14,8,6,1,0,1,0,0,19,5,9,3,10.333333333333334,5,8,3,13.0,7.6,2.6,0.32
1,1,16,1,1,2,14,5,5,1,0,1,0,0,18,6,9,5,12.6,6,8,5,11.4,9.4,-0.8,-3.12
1,1,6,1,1,13,28,10,6,1,0,1,0,0,18,5,11,5,14.0,5,7,5,11.6,9.4,-0.8,-3.12
1,1,16,1,1,1,28,10,7,1,0,1,0,0,18,7,12,5,12.0,7,9,6,12.666666666666666,11.1,0.6,2.02
1,1,6,1,1,1,2,4,2,1,0,1,0,0,19,5,13,4,12.0,5,8,3,12.0,9.4,-0.8,-3.12
13,1,9,1,1,22,28,10,2,1,0,1,0,0,26,5,5,4,13.0,5,7,2,12.0,9.4,-0.8,-3.12
14,1,10,1,1,22,27,10,10,0,0,1,0,0,36,16,24,13,10.692307692307692,13,19,9,12.307692307692308,15.5,2.8,-4.06
1,2,3,0,1,3,1,4,10,0,0,1,0,0,20,6,10,5,12.0,6,9,4,11.25,9.4,-0.8,-3.12
12,1,4,1,1,22,27,4,9,0,1,1,0,1,30,6,6,0,0.0,6,6,0,0.0,11.1,0.6,2.02
8,4,9,1,1,13,28,10,11,1,0,1,0,0,20,5,10,3,10.333333333333334,5,9,4,11.0,16.2,0.3,-0.92
1,4,12,1,1,1,1,10,2,1,0,1,0,0,19,7,8,5,13.98,7,8,5,13.98,7.6,2.6,0.32
8,1,6,1,1,13,27,3,8,0,0,1,0,0,19,5,8,1,11.0,5,6,5,11.2,7.6,2.6,0.32
12,1,17,0,1,23,14,10,8,0,0,1,0,1,31,5,11,4,11.25,5,10,4,10.833333333333334,13.9,-0.3,0.79
16,1,3,0,12,22,27,10,10,0,1,1,0,0,42,11,14,10,11.9,11,14,10,12.8,11.1,0.6,2.02
8,1,16,1,1,3,3,4,4,1,0,0,0,1,18,7,7,7,12.285714285714286,7,8,6,13.333333333333334,8.9,1.4,3.51
15,1,6,1,14,22,28,6,7,1,0,1,0,0,21,6,16,5,12.666666666666666,6,15,2,13.5,16.2,0.3,-0.92
14,1,12,1,1,13,27,9,9,0,0,1,0,0,20,7,8,6,13.25,8,8,8,13.75,13.9,-0.3,0.79
1,1,10,1,1,23,28,6,8,0,0,1,0,0,19,6,13,3,10.333333333333334,6,12,3,10.333333333333334,7.6,2.6,0.32
8,1,16,1,1,1,14,5,6,1,0,1,0,0,22,6,10,5,13.166666666666666,6,8,5,12.4,15.5,2.8,-4.06
15,1,6,1,14,4,28,5,6,1,0,1,0,0,21,6,11,4,12.75,6,19,1,11.0,12.4,0.5,1.79
12,1,12,1,1,1,14,6,4,0,0,1,0,0,26,7,11,5,11.2,8,13,5,12.14,16.2,0.3,-0.92
8,4,5,1,1,1,3,4,4,0,0,1,0,1,18,6,9,5,11.6,6,8,4,11.2,8.9,1.4,3.51
8,1,11,1,1,22,27,8,8,1,0,1,0,0,20,6,13,3,10.333333333333334,6,12,3,10.333333333333334,10.8,1.4,1.74
1,1,15,1,1,23,27,10,10,1,0,1,0,0,19,6,11,4,12.25,6,11,3,11.0,7.6,2.6,0.32
1,1,11,1,1,13,28,10,10,0,0,1,0,0,19,6,6,6,12.0,6,7,4,12.75,12.4,0.5,1.79
8,1,9,1,1,23,2,10,3,1,0,1,0,0,20,5,8,3,11.333333333333334,5,12,2,10.666666666666666,10.8,1.4,1.74
8,1,11,1,1,13,14,6,6,0,0,1,0,1,20,6,10,4,11.25,6,6,6,10.5,12.4,0.5,1.79
14,1,13,1,1,3,4,4,3,0,0,1,0,0,18,2,2,0,0.0,4,4,1,16.0,10.8,1.4,1.74
14,1,8,1,1,13,28,5,6,1,1,1,0,0,18,5,11,1,12.0,5,9,3,12.0,12.7,3.7,-1.7
1,3,11,1,1,13,28,4,11,1,0,1,0,1,20,6,8,5,12.8,6,9,5,12.8,12.4,0.5,1.79
1,3,9,1,1,13,28,10,8,1,0,1,0,0,19,5,5,5,11.8,5,8,4,11.25,9.4,-0.8,-3.12
8,1,10,1,1,1,1,5,10,0,0,1,0,0,20,6,11,5,10.6,6,11,4,10.4,15.5,2.8,-4.06
1,1,16,1,1,1,28,6,11,1,0,1,0,0,20,6,9,5,14.333333333333334,8,8,8,12.625,15.5,2.8,-4.06
8,1,10,1,1,23,14,29,39,1,0,1,0,1,21,6,8,5,13.2,6,7,5,11.8,8.9,1.4,3.51
15,1,6,1,14,23,28,10,8,0,0,1,0,0,20,6,9,6,12.666666666666666,6,12,2,13.0,13.9,-0.3,0.79
1,1,6,1,1,22,27,10,5,1,1,1,0,0,22,6,9,5,13.333333333333334,6,17,4,11.4,12.4,0.5,1.79
1,1,16,1,1,3,1,3,6,1,0,1,0,0,18,7,10,6,10.666666666666666,7,12,6,12.833333333333334,13.9,-0.3,0.79
8,3,6,1,1,22,28,10,10,1,0,1,0,0,20,5,13,3,11.333333333333334,5,8,5,12.6,9.4,-0.8,-3.12
1,1,5,1,1,1,1,5,5,0,0,0,0,0,18,6,10,5,12.2,6,11,4,10.833333333333334,13.9,-0.3,0.79
12,1,12,1,12,22,28,23,34,0,0,1,0,0,27,7,12,4,14.0,7,14,3,12.525,12.4,0.5,1.79
12,1,1,1,1,3,1,3,5,0,0,1,0,0,26,7,9,7,14.75,7,12,5,13.8,16.2,0.3,-0.92
1,2,5,1,1,4,1,3,4,1,0,1,0,0,18,6,8,4,10.75,6,9,0,0.0,9.4,-0.8,-3.12
12,1,7,1,12,13,14,6,4,1,0,1,1,0,24,5,9,1,12.0,5,6,3,10.5,10.8,1.4,1.74
8,1,9,1,1,22,27,5,8,0,0,1,1,1,19,5,12,3,11.666666666666666,5,10,3,11.666666666666666,12.7,3.7,-1.7
1,1,9,1,1,13,14,6,8,0,0,1,1,0,20,5,8,5,10.0,5,10,2,12.0,7.6,2.6,0.32
8,2,7,1,1,13,1,10,11,1,0,1,1,1,18,5,6,5,13.2,5,8,5,12.6,8.9,1.4,3.51
1,2,9,1,1,13,1,6,11,0,0,1,1,0,20,5,9,4,10.2,5,6,3,11.0,15.5,2.8,-4.06
12,1,7,1,15,1,1,6,11,0,0,1,1,0,25,5,6,5,14.2,5,5,2,13.5,16.2,0.3,-0.92
1,1,14,1,1,23,14,6,7,0,1,1,1,0,22,6,8,6,12.625,6,11,2,14.5,11.1,0.6,2.02
1,1,12,1,1,22,27,10,10,0,0,1,1,0,18,8,11,6,13.496666666666668,8,11,6,13.496666666666668,9.4,-0.8,-3.12
8,1,9,1,1,13,1,8,5,1,0,1,1,0,20,5,8,3,11.0,5,11,3,12.0,10.8,1.4,1.74
15,1,11,1,14,24,29,32,44,1,1,1,1,0,23,6,12,3,11.5,6,12,3,10.666666666666666,8.9,1.4,3.51
1,1,8,1,1,1,1,4,4,1,0,1,1,0,20,5,14,2,11.0,5,9,3,12.666666666666666,9.4,-0.8,-3.12
1,6,9,1,1,3,14,5,6,0,0,1,1,0,20,5,14,3,12.4,5,8,5,10.833333333333334,13.9,-0.3,0.79
12,2,17,0,1,13,27,10,9,1,0,1,0,1,28,5,7,5,10.6,5,6,5,10.2,9.4,-0.8,-3.12
8,1,14,1,1,1,14,9,8,1,0,1,0,0,19,6,6,6,14.833333333333334,6,8,6,13.285714285714286,8.9,1.4,3.51
1,1,12,1,1,3,14,3,9,0,0,1,0,0,19,7,12,4,12.45,7,11,5,11.7,16.2,0.3,-0.92
8,1,14,1,1,1,14,5,9,1,0,1,0,0,20,6,8,5,13.4,6,10,4,13.0,12.7,3.7,-1.7
8,1,4,1,1,22,27,5,7,0,1,1,0,0,20,6,8,6,13.333333333333334,6,8,5,14.0,11.1,0.6,2.02
14,3,12,1,1,23,27,7,6,1,0,1,0,1,18,7,8,5,11.98,7,8,5,11.98,7.6,2.6,0.32
8,3,9,1,1,1,14,6,8,0,0,1,0,0,20,5,11,4,11.0,5,7,5,13.2,12.4,0.5,1.79
15,1,6,1,14,3,1,3,4,1,0,1,0,0,19,6,10,5,12.666666666666666,6,19,4,11.75,12.4,0.5,1.79
1,2,16,1,1,1,28,5,10,1,0,1,0,0,19,6,9,5,12.2,6,10,4,13.0,9.4,-0.8,-3.12
12,1,17,0,1,23,1,10,5,0,0,1,0,0,27,5,9,3,10.666666666666666,5,7,4,11.4,10.8,1.4,1.74
1,6,9,1,1,22,27,10,10,0,0,1,0,0,18,5,9,3,11.666666666666666,5,15,2,11.0,7.6,2.6,0.32
1,1,9,1,1,22,28,5,10,1,0,1,0,0,18,5,8,2,10.5,5,7,3,12.333333333333334,7.6,2.6,0.32
1,3,12,1,1,22,28,8,8,1,0,1,0,0,18,8,8,8,14.26875,8,8,8,14.26875,9.4,-0.8,-3.12
1,1,9,1,1,13,27,10,10,1,0,1,0,1,19,5,8,2,10.5,5,11,3,13.333333333333334,7.6,2.6,0.32
1,1,10,1,1,22,1,4,6,0,0,1,0,0,21,6,11,5,11.2,6,15,1,10.0,7.6,2.6,0.32
17,1,6,1,16,1,1,6,6,1,0,0,0,0,23,12,19,9,13.666666666666666,9,15,6,13.5,8.9,1.4,3.51
1,4,10,1,1,13,28,10,7,1,1,1,0,1,19,6,9,5,11.4,6,9,3,10.0,8.9,1.4,3.51
1,1,10,1,1,22,14,6,11,0,1,1,0,0,18,6,10,5,10.6,6,14,2,10.0,7.6,2.6,0.32
1,1,12,1,1,13,14,32,44,1,0,1,0,0,19,7,12,5,11.8,7,9,6,11.708333333333334,11.1,0.6,2.02
1,1,16,1,1,22,14,8,8,1,0,1,0,0,18,6,9,5,11.833333333333334,6,6,4,12.0,15.5,2.8,-4.06
1,1,11,1,1,13,14,10,4,0,0,1,1,0,21,6,8,6,12.571428571428571,6,10,4,13.0,12.7,3.7,-1.7
1,1,11,1,1,3,1,3,2,0,0,1,1,0,20,6,12,3,10.0,6,9,5,10.8,15.5,2.8,-4.06
15,1,6,1,14,2,2,7,7,0,0,0,1,0,20,6,10,5,13.2,6,21,3,12.0,12.4,0.5,1.79
13,1,17,0,6,22,27,10,10,0,0,1,1,0,37,5,10,5,15.8,5,5,5,17.6,9.4,-0.8,-3.12
14,1,14,1,1,23,1,9,11,1,0,1,1,0,18,6,16,5,13.8,6,7,5,12.4,13.9,-0.3,0.79
1,1,11,1,1,13,1,4,8,0,0,1,1,0,23,6,10,6,13.0,6,9,6,12.0,11.1,0.6,2.02
14,1,14,1,1,3,2,3,3,1,0,1,1,0,18,6,13,4,13.75,6,8,5,11.2,13.9,-0.3,0.79
14,1,15,1,1,3,27,4,8,0,0,1,1,0,32,11,15,7,11.285714285714286,7,10,6,12.333333333333334,13.9,-0.3,0.79
1,1,2,1,1,1,3,4,8,1,1,1,1,0,19,12,13,11,12.0,11,15,10,11.181818181818182,8.9,1.4,3.51
3,1,2,1,1,3,14,2,11,1,0,1,1,0,20,0,0,0,0.0,0,0,0,0.0,16.2,0.3,-0.92
6,1,9,1,1,1,3,30,4,0,1,1,1,0,40,5,10,1,11.0,5,10,1,10.0,11.1,0.6,2.02
1,4,9,1,1,23,28,6,11,0,0,1,1,0,20,5,8,5,10.2,5,7,5,11.2,12.4,0.5,1.79
15,1,8,1,14,1,1,5,5,1,0,1,0,0,20,5,7,4,12.0,5,6,4,12.4,10.8,1.4,1.74
1,3,12,1,1,1,14,5,10,1,0,1,0,0,19,7,9,6,13.411428571428573,8,12,7,13.294444444444444,15.5,2.8,-4.06
1,1,6,1,1,3,1,3,9,1,0,1,0,0,19,6,13,4,11.8,6,18,4,12.2,12.4,0.5,1.79
8,1,16,1,1,3,3,18,24,0,0,1,0,0,20,7,9,6,11.833333333333334,7,7,6,14.333333333333334,11.1,0.6,2.02
1,3,12,1,1,3,3,2,4,1,0,1,0,0,18,8,9,6,13.345,8,9,6,13.345,9.4,-0.8,-3.12
1,1,16,1,1,3,1,4,8,1,0,1,0,0,18,6,7,6,12.166666666666666,6,10,4,12.75,10.8,1.4,1.74
17,1,5,1,16,25,14,4,6,1,0,0,0,1,22,6,8,6,11.0,6,10,4,12.0,8.9,1.4,3.51
8,2,9,1,1,13,1,10,4,1,1,1,0,0,20,5,10,2,11.5,5,8,3,10.0,11.1,0.6,2.02
1,1,8,1,1,3,3,3,11,0,1,0,0,0,23,6,10,6,14.0,6,11,4,13.0,11.1,0.6,2.02
1,5,5,1,1,3,1,10,4,1,0,1,0,0,20,6,6,6,11.166666666666666,6,9,6,11.5,12.4,0.5,1.79
16,1,9,1,1,1,1,5,5,0,0,1,0,0,21,5,9,5,12.8,5,11,3,12.666666666666666,11.1,0.6,2.02
8,1,5,1,1,1,27,5,6,0,0,1,0,0,20,6,6,6,12.5,6,8,6,11.5,10.8,1.4,1.74
8,2,12,1,1,13,27,4,6,1,0,0,0,1,20,7,7,7,13.462857142857144,8,10,7,13.164285714285716,11.1,0.6,2.02
1,1,6,1,1,1,14,5,8,1,0,1,0,0,20,7,9,6,14.714285714285714,7,16,6,13.2,12.4,0.5,1.79
14,1,8,1,1,1,3,10,3,0,1,1,0,0,21,5,9,5,13.2,5,7,2,12.5,10.8,1.4,1.74
1,3,7,1,1,3,1,4,5,1,0,1,1,0,18,5,9,4,12.0,5,10,2,11.0,8.9,1.4,3.51
16,1,13,1,1,1,27,24,44,1,0,1,1,0,23,7,11,5,12.414285714285713,7,13,2,13.5,8.9,1.4,3.51
8,1,9,1,1,3,1,4,5,0,0,0,1,0,22,5,10,4,11.5,5,11,4,14.0,8.9,1.4,3.51
1,1,6,1,1,1,1,3,6,1,0,1,0,0,18,5,9,4,14.25,5,8,5,12.714285714285714,10.8,1.4,1.74
3,2,16,1,1,13,14,5,6,1,0,1,0,0,22,6,10,5,12.6,6,9,4,11.25,12.7,3.7,-1.7
8,4,7,1,1,13,14,6,6,1,1,0,1,0,18,5,12,0,0.0,5,8,0,0.0,9.4,-0.8,-3.12
1,1,13,1,1,1,1,2,2,0,0,1,1,1,21,7,14,5,11.2,8,11,6,11.583333333333334,16.2,0.3,-0.92
1,1,11,1,1,23,14,10,6,1,0,1,0,0,21,6,10,6,10.833333333333334,6,10,4,11.0,7.6,2.6,0.32
8,5,10,1,1,13,1,6,6,1,0,1,0,0,20,6,8,4,11.25,6,15,3,10.0,9.4,-0.8,-3.12
12,1,17,0,1,22,27,10,10,0,0,1,0,0,37,5,14,2,10.0,5,7,3,11.333333333333334,12.7,3.7,-1.7
12,1,3,0,1,22,27,7,9,0,1,1,0,0,37,8,12,7,11.375,7,10,6,12.166666666666666,13.9,-0.3,0.79
12,1,6,1,1,22,14,29,35,1,1,1,0,0,28,6,17,0,0.0,6,6,0,0.0,8.9,1.4,3.51
1,5,9,1,1,22,28,8,8,1,0,1,0,0,18,5,9,1,11.0,5,9,2,12.5,7.6,2.6,0.32
12,1,12,1,1,3,1,3,6,1,0,1,0,0,34,8,11,7,11.705714285714285,8,11,7,11.705714285714285,10.8,1.4,1.74
15,1,17,0,14,22,27,7,7,0,0,1,0,0,31,6,8,6,12.0,7,8,7,13.428571428571429,9.4,-0.8,-3.12
1,1,15,1,1,13,28,5,11,1,0,1,0,0,18,6,7,6,12.666666666666666,6,8,4,12.25,7.6,2.6,0.32
12,1,10,1,12,22,27,10,10,1,0,1,0,0,31,6,11,0,0.0,5,10,0,0.0,9.4,-0.8,-3.12
1,2,7,1,1,23,28,6,6,0,0,1,1,0,18,5,9,2,11.666666666666666,5,9,2,12.5,7.6,2.6,0.32
12,1,7,1,1,1,28,4,6,0,0,1,1,0,24,5,6,3,10.666666666666666,5,9,2,10.5,15.5,2.8,-4.06
8,3,7,1,1,1,14,10,4,1,1,0,1,0,18,5,10,3,12.0,5,8,3,10.333333333333334,8.9,1.4,3.51
12,1,17,0,1,13,14,5,5,0,0,1,1,1,41,5,9,4,11.0,5,6,5,11.4,8.9,1.4,3.51
12,1,17,0,1,23,28,10,4,0,0,1,1,0,34,5,10,4,11.75,5,10,4,10.833333333333334,13.9,-0.3,0.79
1,3,12,1,1,3,1,19,26,1,0,1,0,1,20,7,10,5,14.46,7,8,6,13.55,12.4,0.5,1.79
15,1,6,1,14,13,1,7,5,1,0,1,0,0,22,6,12,5,12.8,6,19,2,11.5,12.4,0.5,1.79
1,1,16,1,1,13,27,6,8,0,0,1,0,1,18,6,11,4,12.0,6,8,4,10.75,15.5,2.8,-4.06
1,3,5,1,1,1,28,10,8,0,0,1,0,1,18,6,6,6,14.333333333333334,6,7,6,14.0,11.1,0.6,2.02
1,1,16,1,1,3,1,3,6,0,0,1,0,0,18,6,9,5,12.333333333333334,6,10,5,10.6,15.5,2.8,-4.06
1,1,16,1,1,13,1,6,11,1,1,1,0,0,18,6,9,5,13.6,6,10,4,11.75,9.4,-0.8,-3.12
1,1,16,1,1,23,27,6,6,0,0,1,0,0,19,6,9,4,12.5,6,9,5,12.5,9.4,-0.8,-3.12
16,1,5,1,1,5,1,3,11,1,0,1,0,0,21,6,7,5,12.2,6,7,4,12.6,8.9,1.4,3.51
8,2,16,1,1,1,1,5,1,1,0,1,0,0,18,7,11,5,11.4,7,9,6,13.333333333333334,13.9,-0.3,0.79
14,1,2,1,1,13,14,6,8,0,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,15.5,2.8,-4.06
1,2,16,1,1,23,28,8,6,1,0,1,0,0,18,6,10,3,12.0,6,8,4,10.25,10.8,1.4,1.74
14,1,9,1,1,3,14,10,10,0,0,1,0,0,21,10,18,6,11.166666666666666,10,16,7,10.571428571428571,7.6,2.6,0.32
1,2,12,1,1,23,14,10,8,1,0,1,0,1,20,7,10,5,12.62,7,8,6,12.5,11.1,0.6,2.02
12,1,17,0,1,23,28,4,4,0,0,1,0,0,25,5,11,3,10.666666666666666,5,11,3,11.333333333333334,15.5,2.8,-4.06
12,2,13,1,1,22,27,10,10,1,0,1,0,0,25,7,11,7,11.857142857142858,8,21,5,11.7,12.4,0.5,1.79
12,1,10,1,1,23,14,10,10,1,0,1,0,0,24,6,9,4,15.75,6,10,5,16.4,9.4,-0.8,-3.12
1,1,9,1,1,22,27,32,36,1,0,1,0,0,19,5,9,4,11.0,5,8,3,10.666666666666666,12.4,0.5,1.79
8,6,9,1,1,13,28,8,10,0,0,1,0,1,19,5,5,5,12.4,5,8,3,11.0,12.7,3.7,-1.7
7,2,9,1,1,22,27,10,10,1,0,1,0,1,20,5,8,3,12.0,5,9,4,12.625,10.8,1.4,1.74
1,1,2,1,1,13,28,5,6,1,0,1,0,0,18,0,0,0,0.0,0,0,0,0.0,7.6,2.6,0.32
